   Komb             Odds    Kvot Spelat belopp Beräknat spelbelopp
 0- 2	 0- 4	 2- 2	    36885.02	Ej Spelad	1.00	 1
 0- 2	 0- 4	 3- 1	    42307.30	Ej Spelad	1.00	 1
 0- 2	 0- 5	 1- 1	    46507.77	Ej Spelad	1.00	 1
 0- 2	 1- 0	 0- 3	    11961.86	 2.187	0.55	 1
 0- 2	 1- 0	 0- 4	    39474.13	Ej Spelad	1.00	 1
 0- 2	 1- 0	 1- 3	     6747.71	 2.584	1.05	 1
 0- 2	 1- 0	 1- 4	    29240.10	Ej Spelad	1.00	 1
 0- 2	 1- 0	 2- 3	    10320.03	 5.069	0.72	 1
 0- 2	 1- 1	 0- 3	     8375.54	 3.123	0.88	 1
 0- 2	 1- 1	 0- 4	    27639.28	Ej Spelad	1.00	 1
 0- 2	 1- 1	 1- 3	     4724.66	 1.582	1.03	 1
 0- 2	 1- 1	 1- 4	    20473.54	Ej Spelad	1.00	 1
 0- 2	 1- 1	 2- 3	     7225.96	 1.810	0.79	 1
 0- 2	 1- 1	 2- 4	    22562.68	Ej Spelad	1.00	 1
 0- 2	 1- 1	 3- 4	    42521.98	Ej Spelad	1.00	 1
 0- 2	 1- 1	 4- 0	     9755.89	 1.787	0.58	 1
 0- 2	 1- 2	 0- 3	    14659.28	Ej Spelad	1.00	 1
 0- 2	 1- 2	 0- 4	    48375.61	Ej Spelad	1.00	 1
 0- 2	 1- 2	 1- 3	     8269.34	 1.581	0.59	 1
 0- 2	 1- 2	 1- 4	    35833.79	Ej Spelad	1.00	 1
 0- 2	 1- 2	 2- 4	    39490.30	Ej Spelad	1.00	 1
 0- 2	 1- 2	 4- 1	    13828.54	 3.783	0.54	 1
 0- 2	 1- 2	 4- 2	    24856.36	Ej Spelad	1.00	 1
 0- 2	 1- 2	 5- 0	    42688.09	Ej Spelad	1.00	 1
 0- 2	 1- 3	 0- 0	     6343.30	 2.062	1.00	 1
 0- 2	 1- 3	 0- 1	     6857.44	 1.907	0.87	 1
 0- 2	 1- 3	 0- 3	    33923.56	Ej Spelad	1.00	 1
 0- 2	 1- 3	 1- 0	     5377.70	 1.621	0.94	 1
 0- 2	 1- 4	 0- 0	    20535.09	Ej Spelad	1.00	 1
 0- 2	 1- 4	 0- 1	    22199.52	Ej Spelad	1.00	 1
 0- 2	 1- 4	 0- 2	    38451.68	Ej Spelad	1.00	 1
 0- 2	 1- 4	 1- 0	    17409.17	Ej Spelad	1.00	 1
 0- 2	 1- 4	 1- 1	    13400.54	Ej Spelad	1.00	 1
 0- 2	 1- 4	 1- 2	    28648.79	Ej Spelad	1.00	 1
 0- 2	 1- 4	 2- 1	    22022.08	Ej Spelad	1.00	 1
 0- 2	 1- 4	 2- 2	    34384.34	Ej Spelad	1.00	 1
 0- 2	 1- 4	 3- 1	    39439.00	Ej Spelad	1.00	 1
 0- 2	 1- 5	 1- 1	    41612.21	Ej Spelad	1.00	 1
 0- 2	 2- 0	 1- 3	    11526.42	 2.269	0.58	 1
