   Komb             Odds    Kvot Spelat belopp Beräknat spelbelopp
 1- 3	 1- 4	 0- 0	     3405.18	Ej Spelad	0.10	0.10
 1- 3	 1- 6	 0- 0	    50226.39	Ej Spelad	0.10	0.10
 1- 3	 2- 4	 0- 0	     4900.14	 1.438	0.11	0.10
 1- 3	 2- 5	 0- 0	    14350.40	Ej Spelad	0.10	0.10
 1- 3	 2- 6	 0- 0	    33484.26	Ej Spelad	0.10	0.10
 1- 3	 3- 4	 0- 0	    11161.42	Ej Spelad	0.10	0.10
 1- 3	 3- 5	 0- 0	    33484.26	Ej Spelad	0.10	0.10
 1- 3	 4- 4	 0- 0	    22301.64	Ej Spelad	0.10	0.10
 1- 3	 5- 0	 0- 0	    19323.84	Ej Spelad	0.10	0.10
 1- 3	 5- 1	 0- 0	    10735.47	Ej Spelad	0.10	0.10
 1- 3	 5- 2	 0- 0	    17567.13	Ej Spelad	0.10	0.10
 1- 3	 5- 3	 0- 0	    38647.69	Ej Spelad	0.10	0.10
 1- 3	 6- 0	 0- 0	    48309.61	Ej Spelad	0.10	0.10
 1- 3	 6- 1	 0- 0	    64412.81	Ej Spelad	0.10	0.10
 1- 3	 6- 2	 0- 0	    32206.41	Ej Spelad	0.10	0.10
 1- 4	 0- 0	 0- 0	     1029.24	Ej Spelad	0.10	0.10
 1- 4	 0- 1	 0- 0	      944.14	 1.866	0.83	0.80
 1- 4	 0- 2	 0- 0	     1676.14	 2.102	0.51	0.50
 1- 4	 0- 3	 0- 0	     3373.63	Ej Spelad	0.10	0.10
 1- 4	 0- 5	 0- 0	    31156.47	Ej Spelad	0.10	0.10
 1- 4	 1- 3	 0- 0	     2773.09	 1.271	0.14	0.10
 1- 4	 1- 5	 0- 0	    27876.85	Ej Spelad	0.10	0.10
 1- 4	 2- 5	 0- 0	    37832.86	Ej Spelad	0.10	0.10
 1- 4	 3- 4	 0- 0	    29425.56	Ej Spelad	0.10	0.10
 1- 4	 4- 4	 0- 0	    58795.22	Ej Spelad	0.10	0.10
 1- 4	 5- 0	 0- 0	    50944.68	Ej Spelad	0.10	0.10
 1- 4	 5- 1	 0- 0	    28302.60	Ej Spelad	0.10	0.10
 1- 4	 5- 2	 0- 0	    46313.34	Ej Spelad	0.10	0.10
 1- 5	 0- 0	 0- 0	     4528.65	 1.556	0.14	0.10
 1- 5	 0- 1	 0- 0	     4154.20	 1.697	0.17	0.20
 1- 5	 0- 2	 0- 0	     7375.01	Ej Spelad	0.10	0.10
 1- 5	 0- 3	 0- 0	    14843.98	Ej Spelad	0.10	0.10
 1- 5	 0- 4	 0- 0	    42372.81	Ej Spelad	0.10	0.10
 1- 5	 1- 0	 0- 0	     4302.43	 1.638	0.16	0.20
 1- 5	 1- 1	 0- 0	     3012.51	 2.340	0.30	0.30
 1- 5	 1- 2	 0- 0	     5272.63	Ej Spelad	0.10	0.10
 1- 5	 1- 3	 0- 0	    12201.59	Ej Spelad	0.10	0.10
 1- 5	 1- 4	 0- 0	    39500.07	Ej Spelad	0.10	0.10
 1- 5	 2- 0	 0- 0	     7349.40	Ej Spelad	0.10	0.10
 1- 5	 2- 1	 0- 0	     5003.50	Ej Spelad	0.10	0.10
 1- 5	 2- 2	 0- 0	     6570.13	Ej Spelad	0.10	0.10
 1- 5	 2- 3	 0- 0	    16297.23	Ej Spelad	0.10	0.10
 1- 5	 2- 4	 0- 0	    56841.57	Ej Spelad	0.10	0.10
 1- 5	 3- 0	 0- 0	    15459.07	Ej Spelad	0.10	0.10
 1- 5	 3- 1	 0- 0	    13922.77	Ej Spelad	0.10	0.10
 1- 5	 3- 2	 0- 0	    16011.18	Ej Spelad	0.10	0.10
 1- 5	 3- 3	 0- 0	    31839.87	Ej Spelad	0.10	0.10
 1- 5	 4- 0	 0- 0	    45746.24	Ej Spelad	0.10	0.10
 1- 5	 4- 2	 0- 0	    60582.86	Ej Spelad	0.10	0.10
 1- 6	 0- 0	 0- 0	    33964.86	Ej Spelad	0.10	0.10
 1- 6	 0- 1	 0- 0	    31156.47	Ej Spelad	0.10	0.10
 1- 6	 0- 2	 0- 0	    55312.61	Ej Spelad	0.10	0.10
 1- 6	 1- 0	 0- 0	    32268.22	Ej Spelad	0.10	0.10
 1- 6	 1- 1	 0- 0	    22593.80	Ej Spelad	0.10	0.10
 1- 6	 1- 2	 0- 0	    39544.76	Ej Spelad	0.10	0.10
 1- 6	 2- 0	 0- 0	    55120.47	Ej Spelad	0.10	0.10
 1- 6	 2- 1	 0- 0	    37526.21	Ej Spelad	0.10	0.10
 1- 6	 2- 2	 0- 0	    49276.00	Ej Spelad	0.10	0.10
 2- 0	 0- 2	 0- 0	      323.37	Ej Spelad	0.10	0.10
 2- 0	 0- 3	 0- 0	      650.86	 1.805	1.17	0.80
 2- 0	 0- 4	 0- 0	     1857.92	 3.793	0.54	0.50
 2- 0	 0- 5	 0- 0	     6010.92	Ej Spelad	0.10	0.10
 2- 0	 0- 6	 0- 0	    20437.13	Ej Spelad	0.10	0.10
 2- 0	 1- 3	 0- 0	      535.00	 1.882	1.48	1.50
 2- 0	 1- 4	 0- 0	     1731.96	 4.069	0.58	0.60
 2- 0	 1- 5	 0- 0	     5378.19	Ej Spelad	0.10	0.10
 2- 0	 2- 0	 0- 0	      322.25	Ej Spelad	0.10	0.10
 2- 0	 2- 3	 0- 0	      714.58	 1.409	0.74	0.70
 2- 0	 2- 4	 0- 0	     2492.33	 1.414	0.21	0.20
 2- 0	 2- 5	 0- 0	     7298.97	Ej Spelad	0.10	0.10
 2- 0	 3- 4	 0- 0	     5676.98	Ej Spelad	0.10	0.10
 2- 0	 3- 5	 0- 0	    17030.94	Ej Spelad	0.10	0.10
 2- 0	 3- 6	 0- 0	    51092.81	Ej Spelad	0.10	0.10
 2- 0	 4- 3	 0- 0	     5781.53	 1.231	0.06	0.10
 2- 0	 5- 0	 0- 0	     9828.59	Ej Spelad	0.10	0.10
 2- 0	 5- 1	 0- 0	     5460.33	Ej Spelad	0.10	0.10
 2- 0	 5- 2	 0- 0	     8935.08	Ej Spelad	0.10	0.10
 2- 0	 5- 3	 0- 0	    19657.19	Ej Spelad	0.10	0.10
 2- 0	 6- 0	 0- 0	    24571.48	Ej Spelad	0.10	0.10
 2- 0	 6- 1	 0- 0	    32761.98	Ej Spelad	0.10	0.10
 2- 0	 6- 2	 0- 0	    16380.99	Ej Spelad	0.10	0.10
 2- 0	 6- 3	 0- 0	    49142.96	Ej Spelad	0.10	0.10
 2- 0	 6- 4	 0- 0	    49142.96	Ej Spelad	0.10	0.10
 2- 1	 0- 2	 0- 0	      227.18	 1.293	1.87	1.80
 2- 1	 0- 3	 0- 0	      457.25	 1.713	1.58	1.60
 2- 1	 0- 4	 0- 0	     1305.25	Ej Spelad	0.10	0.10
 2- 1	 0- 5	 0- 0	     4222.86	Ej Spelad	0.10	0.10
 2- 1	 0- 6	 0- 0	    14357.73	Ej Spelad	0.10	0.10
 2- 1	 1- 3	 0- 0	      375.86	 1.705	1.91	1.90
 2- 1	 1- 4	 0- 0	     1216.76	 5.792	0.80	0.80
 2- 1	 1- 5	 0- 0	     3778.35	Ej Spelad	0.10	0.10
 2- 1	 2- 3	 0- 0	      502.02	 1.276	0.81	0.80
 2- 1	 2- 4	 0- 0	     1750.94	 4.025	0.57	0.60
 2- 1	 2- 5	 0- 0	     5127.76	Ej Spelad	0.10	0.10
 2- 1	 2- 6	 0- 0	    11964.77	Ej Spelad	0.10	0.10
 2- 1	 3- 4	 0- 0	     3988.26	Ej Spelad	0.10	0.10
 2- 1	 3- 5	 0- 0	    11964.77	Ej Spelad	0.10	0.10
 2- 1	 3- 6	 0- 0	    35894.32	Ej Spelad	0.10	0.10
 2- 1	 4- 3	 0- 0	     4061.70	 1.752	0.18	0.20
 2- 1	 4- 4	 0- 0	     7968.94	Ej Spelad	0.10	0.10
 2- 1	 5- 0	 0- 0	     6904.90	Ej Spelad	0.10	0.10
 2- 1	 5- 1	 0- 0	     3836.05	Ej Spelad	0.10	0.10
 2- 1	 5- 3	 0- 0	    13809.80	Ej Spelad	0.10	0.10
 2- 1	 6- 0	 0- 0	    17262.24	Ej Spelad	0.10	0.10
 2- 1	 6- 1	 0- 0	    23016.33	Ej Spelad	0.10	0.10
 2- 1	 6- 2	 0- 0	    11508.16	Ej Spelad	0.10	0.10
 2- 1	 6- 3	 0- 0	    34524.49	Ej Spelad	0.10	0.10
 2- 1	 6- 4	 0- 0	    34524.49	Ej Spelad	0.10	0.10
 2- 2	 0- 2	 0- 0	      312.88	Ej Spelad	0.10	0.10
 2- 2	 0- 3	 0- 0	      629.74	 1.399	0.83	0.80
 2- 2	 0- 4	 0- 0	     1797.62	 3.921	0.56	0.60
 2- 2	 0- 5	 0- 0	     5815.84	Ej Spelad	0.10	0.10
 2- 2	 0- 6	 0- 0	    19773.84	Ej Spelad	0.10	0.10
 2- 2	 1- 4	 0- 0	     1675.75	 4.206	0.60	0.60
 2- 2	 1- 5	 0- 0	     5203.64	Ej Spelad	0.10	0.10
 2- 2	 2- 2	 0- 0	      278.73	Ej Spelad	0.10	0.10
 2- 2	 2- 4	 0- 0	     2411.44	 1.461	0.24	0.20
 2- 2	 2- 5	 0- 0	     7062.09	Ej Spelad	0.10	0.10
 2- 2	 3- 4	 0- 0	     5492.73	Ej Spelad	0.10	0.10
 2- 2	 3- 5	 0- 0	    16478.20	Ej Spelad	0.10	0.10
 2- 2	 3- 6	 0- 0	    49434.60	Ej Spelad	0.10	0.10
 2- 2	 4- 3	 0- 0	     5593.89	 1.272	0.07	0.10
 2- 2	 5- 0	 0- 0	     9509.61	Ej Spelad	0.10	0.10
 2- 2	 5- 1	 0- 0	     5283.12	Ej Spelad	0.10	0.10
 2- 2	 5- 2	 0- 0	     8645.10	Ej Spelad	0.10	0.10
 2- 2	 5- 3	 0- 0	    19019.21	Ej Spelad	0.10	0.10
 2- 2	 6- 0	 0- 0	    23774.02	Ej Spelad	0.10	0.10
 2- 2	 6- 1	 0- 0	    31698.69	Ej Spelad	0.10	0.10
 2- 2	 6- 2	 0- 0	    15849.35	Ej Spelad	0.10	0.10
 2- 2	 6- 3	 0- 0	    47548.04	Ej Spelad	0.10	0.10
 2- 2	 6- 4	 0- 0	    47548.04	Ej Spelad	0.10	0.10
