   Komb             Odds    Kvot Spelat belopp Beräknat spelbelopp
 0- 1	 1- 3	 1- 1	     8641.02	Ej Spelad	0.10	0.10
 0- 1	 1- 3	 2- 0	    15551.51	Ej Spelad	0.10	0.10
 0- 1	 1- 3	 2- 1	    13305.18	Ej Spelad	0.10	0.10
 0- 1	 2- 1	 1- 0	     4974.08	 4.265	0.05	0.10
 0- 1	 2- 1	 1- 1	     3814.96	 1.853	0.05	0.10
 0- 1	 2- 1	 3- 0	    14598.49	Ej Spelad	0.10	0.10
 0- 1	 2- 1	 3- 1	    11546.70	Ej Spelad	0.10	0.10
 0- 1	 2- 2	 3- 1	    15291.69	Ej Spelad	0.10	0.10
 0- 1	 2- 3	 1- 0	    16030.16	Ej Spelad	0.10	0.10
 0- 1	 2- 3	 1- 1	    12294.60	Ej Spelad	0.10	0.10
 0- 1	 3- 2	 1- 0	    15614.00	Ej Spelad	0.10	0.10
 0- 2	 0- 0	 1- 0	    16529.72	Ej Spelad	0.10	0.10
 0- 2	 0- 0	 1- 1	    12677.75	Ej Spelad	0.10	0.10
 0- 2	 0- 1	 1- 0	    15181.30	Ej Spelad	0.10	0.10
 0- 2	 0- 1	 1- 1	    11643.56	Ej Spelad	0.10	0.10
 0- 2	 1- 0	 1- 0	    15586.77	Ej Spelad	0.10	0.10
 0- 2	 1- 1	 0- 0	    12495.01	Ej Spelad	0.10	0.10
 0- 2	 1- 1	 0- 1	    14563.46	Ej Spelad	0.10	0.10
 0- 2	 1- 1	 1- 1	     8164.11	Ej Spelad	0.10	0.10
 0- 2	 1- 1	 1- 2	    16203.15	Ej Spelad	0.10	0.10
 0- 2	 1- 1	 2- 0	    14693.20	Ej Spelad	0.10	0.10
 0- 2	 1- 1	 2- 1	    12570.85	Ej Spelad	0.10	0.10
 0- 2	 1- 2	 1- 1	    13885.10	Ej Spelad	0.10	0.10
 0- 2	 2- 1	 1- 1	    13518.21	Ej Spelad	0.10	0.10
 1- 0	 0- 0	 0- 0	     1096.67	 1.758	0.17	0.20
 1- 0	 0- 0	 0- 1	     1278.22	 1.277	0.08	0.10
 1- 0	 0- 0	 1- 0	      934.27	 2.064	0.23	0.20
 1- 0	 0- 0	 1- 1	      716.55	 2.467	0.32	0.30
 1- 0	 0- 0	 1- 2	     1422.13	 1.492	0.10	0.10
 1- 0	 0- 0	 1- 3	     3223.72	 2.193	0.07	0.10
 1- 0	 0- 0	 2- 0	     1289.61	 2.350	0.18	0.20
 1- 0	 0- 0	 2- 1	     1103.33	 2.747	0.22	0.20
 1- 0	 0- 0	 2- 2	     1746.97	 2.428	0.13	0.10
 1- 0	 0- 0	 3- 0	     2742.00	 3.868	0.09	0.10
 1- 0	 0- 0	 3- 1	     2168.79	 4.890	0.11	0.10
 1- 0	 0- 0	 3- 2	     3687.52	 2.876	0.07	0.10
 1- 0	 0- 0	 4- 0	     6985.90	Ej Spelad	0.10	0.10
 1- 0	 0- 0	 4- 1	     5941.00	Ej Spelad	0.10	0.10
 1- 0	 0- 0	 4- 2	     8911.50	Ej Spelad	0.10	0.10
 1- 0	 0- 1	 0- 0	     1007.21	 2.106	0.21	0.20
 1- 0	 0- 1	 0- 1	     1173.95	 2.008	0.18	0.20
 1- 0	 0- 1	 1- 0	      858.06	 3.090	0.29	0.30
 1- 0	 0- 1	 1- 1	      658.10	 4.029	0.38	0.40
 1- 0	 0- 1	 1- 2	     1306.12	 2.707	0.18	0.20
 1- 0	 0- 1	 1- 3	     2960.74	 7.164	0.08	0.10
 1- 0	 0- 1	 2- 0	     1184.41	 4.477	0.21	0.20
 1- 0	 0- 1	 2- 1	     1013.32	 5.233	0.24	0.20
 1- 0	 0- 1	 2- 2	     1604.46	 4.407	0.16	0.20
 1- 0	 0- 1	 2- 3	     4743.79	 4.472	0.05	0.10
 1- 0	 0- 1	 2- 4	    14178.67	Ej Spelad	0.10	0.10
 1- 0	 0- 1	 3- 0	     2518.32	 8.423	0.09	0.10
 1- 0	 0- 1	 3- 1	     1991.87	10.649	0.11	0.10
 1- 0	 0- 1	 3- 2	     3386.71	 6.263	0.07	0.10
 1- 0	 0- 1	 3- 3	     9244.76	Ej Spelad	0.10	0.10
 1- 0	 0- 1	 4- 0	     6416.02	Ej Spelad	0.10	0.10
 1- 0	 0- 1	 4- 1	     5456.36	Ej Spelad	0.10	0.10
 1- 0	 0- 1	 4- 2	     8184.54	Ej Spelad	0.10	0.10
 1- 0	 0- 1	 5- 0	    16369.09	Ej Spelad	0.10	0.10
 1- 0	 0- 2	 0- 0	     1722.45	 4.105	0.15	0.10
 1- 0	 0- 2	 0- 1	     2007.59	 5.283	0.12	0.10
 1- 0	 0- 2	 0- 2	     3347.02	 3.169	0.07	0.10
 1- 0	 0- 2	 1- 0	     1467.38	 4.819	0.17	0.20
 1- 0	 0- 2	 1- 1	     1125.43	 6.283	0.21	0.20
 1- 0	 0- 2	 1- 2	     2233.63	 4.748	0.11	0.10
 1- 0	 0- 2	 2- 0	     2025.48	10.473	0.11	0.10
 1- 0	 0- 2	 2- 1	     1732.91	12.241	0.12	0.10
 1- 0	 0- 2	 2- 2	     2743.83	 7.731	0.08	0.10
 1- 0	 0- 2	 2- 3	     8112.47	Ej Spelad	0.10	0.10
