   Komb             Odds    Kvot Spelat belopp Beräknat spelbelopp
 2- 2	 2- 4	 0- 0	      464.07	19.590	0.38	0.40
 2- 2	 2- 5	 0- 0	      694.36	Ej Spelad	0.10	0.10
 2- 2	 2- 6	 0- 0	     1710.18	Ej Spelad	0.10	0.10
 2- 2	 2- 7	 0- 0	     4197.71	Ej Spelad	0.10	0.10
 2- 2	 2- 8	 0- 0	     6596.40	Ej Spelad	0.10	0.10
 2- 2	 3- 1	 0- 0	      468.03	 1.355	0.26	0.30
 2- 2	 3- 2	 0- 0	      359.61	 2.528	0.65	0.60
 2- 2	 3- 3	 0- 0	      154.08	 8.850	1.45	1.40
 2- 2	 3- 4	 0- 0	      684.07	 7.974	0.33	0.30
 2- 2	 3- 5	 0- 0	      776.05	35.143	0.18	0.20
 2- 2	 3- 6	 0- 0	     1742.45	Ej Spelad	0.10	0.10
 2- 2	 3- 7	 0- 0	     5771.85	Ej Spelad	0.10	0.10
 2- 2	 3- 8	 0- 0	    11543.71	Ej Spelad	0.10	0.10
 2- 2	 4- 3	 0- 0	      763.43	 2.101	0.28	0.30
 2- 2	 4- 4	 0- 0	      308.17	14.750	0.62	0.60
 2- 2	 4- 5	 0- 0	     2098.86	12.994	0.10	0.10
 2- 2	 4- 6	 0- 0	     2979.02	Ej Spelad	0.10	0.10
 2- 2	 4- 7	 0- 0	     4617.48	Ej Spelad	0.10	0.10
 2- 2	 5- 3	 0- 0	      831.59	 1.726	0.22	0.20
 2- 2	 5- 4	 0- 0	     2116.77	 2.577	0.11	0.10
 2- 2	 5- 6	 0- 0	     5130.54	Ej Spelad	0.10	0.10
 2- 2	 5- 7	 0- 0	    11543.71	Ej Spelad	0.10	0.10
 2- 2	 6- 3	 0- 0	     1578.61	 1.440	0.09	0.10
 2- 2	 6- 4	 0- 0	     3582.23	 1.903	0.06	0.10
 2- 3	 0- 1	 0- 0	     3049.37	 8.944	0.07	0.10
