   Komb             Odds    Kvot Spelat belopp Beräknat spelbelopp
 0- 0	 1- 1	 1- 0	      860.71	 1.841	6.75	 7
 0- 0	 1- 1	 1- 1	      660.14	 1.725	8.26	 8
 0- 0	 1- 1	 1- 2	     1310.16	 1.545	3.60	 4
 0- 0	 1- 1	 1- 3	     2969.91	 1.363	1.24	 1
 0- 0	 1- 1	 2- 0	     1188.07	 2.359	5.74	 6
 0- 0	 1- 1	 2- 1	     1016.46	 1.707	5.30	 5
 0- 0	 1- 1	 2- 2	     1609.43	 1.741	3.42	 3
 0- 0	 1- 1	 2- 3	     4758.48	 3.828	1.58	 2
 0- 0	 1- 1	 3- 0	     2526.12	 2.061	2.51	 3
 0- 0	 1- 1	 3- 1	     1998.04	 1.520	2.30	 2
 0- 0	 1- 1	 3- 2	     3397.19	 3.575	2.20	 2
 0- 0	 1- 1	 3- 3	     9273.38	 3.929	0.81	 1
 0- 0	 1- 1	 4- 0	     6435.89	 1.887	0.92	 1
 0- 0	 1- 1	 4- 2	     8209.88	 2.219	0.81	 1
 0- 0	 1- 2	 0- 0	     1718.32	 2.356	3.96	 4
 0- 0	 1- 2	 0- 1	     2002.77	 1.819	2.87	 3
 0- 0	 1- 2	 1- 0	     1463.86	 2.074	4.35	 4
 0- 0	 1- 2	 1- 1	     1122.73	 2.164	5.82	 6
 0- 0	 1- 2	 1- 2	     2228.26	 1.817	2.58	 3
 0- 0	 1- 2	 2- 0	     2020.61	 2.254	3.30	 3
 0- 0	 1- 2	 2- 1	     1728.75	 1.916	3.48	 3
 0- 0	 1- 2	 2- 2	     2737.23	 1.902	2.18	 2
 0- 0	 1- 2	 2- 3	     8092.98	 2.251	0.82	 1
 0- 0	 1- 2	 3- 0	     4296.29	 2.827	1.68	 2
 0- 0	 1- 2	 3- 1	     3398.16	 2.681	2.10	 2
 0- 0	 1- 2	 3- 2	     5777.77	 3.153	1.28	 1
 0- 0	 1- 2	 4- 2	    13962.94	 2.609	0.51	 1
