   Komb             Odds    Kvot Spelat belopp Beräknat spelbelopp
 1- 0	 6- 3	 0- 0	    12705.98	 8.267	3.05	 3
 1- 0	 6- 4	 0- 0	    28832.79	 3.643	1.48	 1
 1- 0	 6- 5	 0- 0	    44097.21	 2.382	0.88	 1
 1- 0	 7- 2	 0- 0	    29986.11	 3.503	1.42	 1
 1- 0	 7- 4	 0- 0	    46853.29	 2.242	0.81	 1
 1- 2	 0- 1	 0- 0	     3071.00	 3.800	13.91	14
 1- 2	 0- 2	 0- 0	     2480.42	 4.235	17.22	17
 1- 2	 0- 3	 0- 0	     1860.32	 4.705	22.84	23
 1- 2	 0- 4	 0- 0	     3394.26	 5.158	12.42	12
 1- 2	 0- 5	 0- 0	     6449.09	 5.429	6.50	 6
 1- 2	 0- 6	 0- 0	    24184.10	 4.343	1.76	 2
 1- 2	 0- 7	 0- 0	    48368.20	 2.172	0.77	 1
 1- 2	 1- 0	 0- 0	     2827.89	 6.191	14.54	15
 1- 2	 1- 2	 0- 0	      867.59	 5.765	47.90	48
 1- 2	 1- 3	 0- 0	      977.14	 5.375	42.93	43
 1- 2	 1- 4	 0- 0	     1248.21	 4.950	33.90	34
 1- 2	 1- 5	 0- 0	     2763.90	 4.750	15.36	15
 1- 2	 1- 6	 0- 0	     5862.81	 8.958	6.49	 6
 1- 2	 1- 7	 0- 0	    17588.44	 5.972	2.35	 2
 1- 2	 1- 8	 0- 0	    48368.20	 2.172	0.77	 1
 1- 2	 2- 0	 0- 0	     2601.66	 4.037	16.43	16
 1- 2	 2- 1	 0- 0	      830.32	 7.028	48.38	48
 1- 2	 2- 2	 0- 0	      430.41	10.168	85.52	86
 1- 2	 2- 3	 0- 0	      711.30	 7.383	55.91	56
 1- 2	 2- 4	 0- 0	      972.22	 5.145	43.36	43
 1- 2	 2- 5	 0- 0	     1454.68	 8.023	26.85	27
 1- 2	 2- 6	 0- 0	     3582.83	29.317	7.19	 7
 1- 2	 2- 7	 0- 0	     8794.22	11.944	4.00	 4
 1- 2	 2- 8	 0- 0	    13819.48	 7.601	2.86	 3
 1- 2	 3- 0	 0- 0	     2217.32	 3.948	19.28	19
 1- 2	 3- 1	 0- 0	      980.52	 5.951	42.18	42
 1- 2	 3- 2	 0- 0	      753.38	 7.746	52.25	52
 1- 2	 3- 3	 0- 0	      322.80	23.242	87.09	87
 1- 2	 3- 4	 0- 0	     1433.13	 5.638	29.09	29
 1- 2	 3- 5	 0- 0	     1625.82	12.921	21.12	21
 1- 2	 3- 6	 0- 0	     3650.43	 7.193	10.95	11
 1- 2	 3- 7	 0- 0	    12092.05	 8.686	3.17	 3
 1- 2	 3- 8	 0- 0	    24184.10	 4.343	1.76	 2
 1- 2	 4- 0	 0- 0	     4759.13	 3.678	8.97	 9
 1- 2	 4- 1	 0- 0	     1242.83	 6.501	32.80	33
 1- 2	 4- 2	 0- 0	      985.48	 5.921	42.00	42
 1- 2	 4- 3	 0- 0	     1599.38	 4.378	26.68	27
 1- 2	 4- 4	 0- 0	      645.61	32.539	38.29	38
 1- 2	 4- 5	 0- 0	     4397.11	11.944	8.00	 8
 1- 2	 4- 6	 0- 0	     6241.06	16.830	5.05	 5
 1- 2	 4- 7	 0- 0	     9673.64	10.858	3.74	 4
 1- 2	 4- 8	 0- 0	    48368.20	 2.172	0.77	 1
 1- 2	 5- 0	 0- 0	     6294.33	 3.338	6.73	 7
 1- 2	 5- 1	 0- 0	     3307.19	 5.293	12.71	13
 1- 2	 5- 2	 0- 0	     1639.70	 8.007	23.83	24
 1- 2	 5- 3	 0- 0	     1742.18	12.058	20.13	20
 1- 2	 5- 4	 0- 0	     4434.64	 7.895	8.84	 9
 1- 2	 5- 6	 0- 0	    10748.49	 9.772	3.46	 3
 1- 2	 5- 7	 0- 0	    24184.10	 4.343	1.76	 2
 1- 2	 6- 0	 0- 0	    21680.48	 4.845	1.96	 2
 1- 2	 6- 1	 0- 0	     8130.18	 6.460	5.02	 5
 1- 2	 6- 2	 0- 0	     3613.41	 9.690	10.32	10
 1- 2	 6- 3	 0- 0	     3307.19	10.587	11.01	11
 1- 2	 6- 4	 0- 0	     7504.78	13.996	4.46	 4
 1- 2	 6- 5	 0- 0	    11477.90	 9.151	3.30	 3
 1- 2	 7- 1	 0- 0	    32520.72	 3.230	1.30	 1
 1- 2	 7- 2	 0- 0	     7804.97	13.458	4.34	 4
 1- 2	 7- 3	 0- 0	    21680.48	 4.845	1.96	 2
 1- 2	 7- 4	 0- 0	    12195.27	 8.613	3.15	 3
 1- 2	 8- 1	 0- 0	    32520.72	 3.230	1.30	 1
 1- 2	 8- 2	 0- 0	    21680.48	 4.845	1.96	 2
 1- 2	 8- 3	 0- 0	    32520.72	 3.230	1.30	 1
 1- 2	 8- 4	 0- 0	    48781.08	 2.153	0.76	 1
 1- 2	 8- 5	 0- 0	    32520.72	 3.230	1.30	 1
 1- 3	 0- 1	 0- 0	     3356.67	 3.477	12.67	13
 1- 3	 0- 2	 0- 0	     2711.16	 4.843	15.64	16
 1- 3	 0- 3	 0- 0	     2033.37	 4.696	20.90	21
 1- 3	 0- 4	 0- 0	     3710.00	 4.045	11.52	12
 1- 3	 0- 5	 0- 0	     7049.01	 3.725	6.06	 6
