   Komb             Odds    Kvot Spelat belopp Beräknat spelbelopp
 0- 0	 2- 2	 2- 3	    51457.26	Ej Spelad	1.00	 1
 0- 0	 2- 2	 2- 4	   168324.53	Ej Spelad	1.00	 1
 0- 0	 2- 2	 3- 0	    10581.62	Ej Spelad	1.00	 1
 0- 0	 2- 2	 3- 1	    12511.81	Ej Spelad	1.00	 1
 0- 0	 2- 2	 3- 2	    41291.30	Ej Spelad	1.00	 1
 0- 0	 2- 2	 4- 0	    63161.09	Ej Spelad	1.00	 1
 0- 0	 2- 2	 4- 1	    40394.10	Ej Spelad	1.00	 1
 0- 0	 2- 2	 4- 2	    85774.50	Ej Spelad	1.00	 1
 0- 0	 2- 2	 5- 0	   260015.41	Ej Spelad	1.00	 1
 0- 0	 2- 2	 5- 1	   324266.50	Ej Spelad	1.00	 1
 0- 0	 2- 2	 5- 2	   324367.53	Ej Spelad	1.00	 1
 0- 0	 2- 3	 0- 0	     7246.91	Ej Spelad	1.00	 1
 0- 0	 2- 3	 0- 1	     6507.46	Ej Spelad	1.00	 1
 0- 0	 2- 3	 0- 2	    12592.00	Ej Spelad	1.00	 1
 0- 0	 2- 3	 0- 3	    47137.16	Ej Spelad	1.00	 1
 0- 0	 2- 3	 0- 4	   238206.42	Ej Spelad	1.00	 1
 0- 0	 2- 3	 1- 0	     2610.10	Ej Spelad	1.00	 1
 0- 0	 2- 3	 1- 1	     9352.57	Ej Spelad	1.00	 1
 0- 0	 2- 3	 1- 2	    12682.81	Ej Spelad	1.00	 1
 0- 0	 2- 3	 1- 3	    42084.95	Ej Spelad	1.00	 1
 0- 0	 2- 3	 1- 4	   297447.25	Ej Spelad	1.00	 1
 0- 0	 2- 3	 2- 0	    15146.29	Ej Spelad	1.00	 1
 0- 0	 2- 3	 2- 1	     5873.20	Ej Spelad	1.00	 1
 0- 0	 2- 3	 2- 2	    51428.34	Ej Spelad	1.00	 1
 0- 0	 2- 3	 2- 3	   126259.02	Ej Spelad	1.00	 1
 0- 0	 2- 3	 3- 0	    37527.02	Ej Spelad	1.00	 1
 0- 0	 2- 3	 3- 1	    61956.79	Ej Spelad	1.00	 1
 0- 0	 2- 3	 4- 0	   121326.38	Ej Spelad	1.00	 1
